question_id,local-or-sum,cor_section,ex-or-im1,attribute1,attribute2,question,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
22,local,14,explicit,action,,What did the old bald eagle do?,asked what had brought Owasso there,,,,,,
23,local,15,explicit,character,,Who appeared to be the head of the tribe?,the old eagle,,,,,,
24,local,15,explicit,outcome resolution,,What happened after Owasso dismissed the birds?,Owasso stood ready to greet his wicked father-in-law.,,,,,,
25,local,15,explicit,causal relationship,,Why did Mishosha grow very black in the face?,His son-in-law was still unharmed.,,,,,,
26,local,16,explicit,feeling,,How did Owasso feel when he heard his brother's voice?,anguish,,,,,,
27,local,16,explicit,action,,What did Owasso's wife do to soothe her father to sleep?,combed his hair,,,,,,
28,local,18,explicit,causal relationship,,Why did Owasso think that the magician was going to play a trick on him?,The magician gave him a glance.,,,,,,
29,local,18,explicit,action,,What did the magician do instead of rekindle the fire?,dropped a pair of moccasins and leggings into the flames,,,,,,
30,local,19,explicit,causal relationship,character,Why did Mishosha look like an old sycamore-tree?,"His body became hard, and the hair bristled in the cold wind.",,,,,,
31,local,20,explicit,causal relationship,,Why did Owasso's sister almost wish her younger brother was dead?,He kept her from weeking the companionship of others.,,,,,,
32,local,21,explicit,action,,What did Sheem do after eating all of the food left in the lodge?,wandered about in search of the wherewithal to stay his hunger,,,,,,
33,local,21,explicit,outcome resolution,,What happened after the sister accepted proposals of marriage?,She utterly forgot the abandoned boy.,,,,,,
34,local,21,explicit,causal relationship,,Why did the roots and berries give out?,were blighted by the frost,were hidden out of reach by the snow,,,,,
35,local,22,explicit,causal relationship,,Why did the wolves always leave Sheem something to eat?,They understood his outcast condition.,,,,,,
36,local,23,explicit,action,,What did Owasso hear that made him go to shore?,the cries of a child,,,,,,
37,local,24,explicit,outcome resolution,,What happened to Sheem the more his elder brother approached him?,"He fled faster, and the change went on more rapidly.",,,,,,
38,local,24,explicit,action,,What did Owasso do when he saw Sheem?,strove to catch Sheem,,,,,,
39,summary,"22,23,24",implicit,causal relationship,,Why was Sheem half-boy and half-wolf?,lived with wolves,abandoned by his siblings,wolves adopted him,,,,
40,summary,"14,15",implicit,prediction,feeling,How will Owasso feel when the old eagle helps him?,thankful,grateful,happy,,,,
41,local,3,explicit,causal relationship,,Why did the man speak no further?,He died.,,,,,,
42,summary,"6,7",implicit,causal relationship,,Why did the Manito laugh at Owasso?,Owasso cared for his brother even though he was in danger.,The Manito wanted him to suffer.,The Manito was surprised at the request.,,,,
43,local,8,implicit,prediction,feeling,How will the oldest daughter feel about Owasso being her husband?,happy,glad,content,,,,
44,local,10,implicit,causal relationship,,Why did the Manito take Owasso to a solitary island?,to get rid of Owasso,to give the birds Owasso as food,to divorce his daughter from Owasso,,,,
45,local,12,implicit,prediction,feeling,How will the Manito feel seeing Owasso?,shocked,angry,mocked,,,,
46,local,16,implicit,causal relationship,,Why did Owasso's wife propose they should attempt to make their escape?,to make Owasso happy,so that Owasso could care for his brother,her father was wicked,,,,
47,local,16,implicit,prediction,feeling,How will Owasso feel when his wife encourages him to escape?,surprised,glad,happy,,,,
48,local,22,implicit,action,,How did Sheem grow to be so little fearful of the animals?,got lost in the forest,had no one to protect him,observed the wolves,,,,
49,summary,"22,23",implicit,outcome resolution,,What happened to Sheem after he met the wolves?,was adopted into the wolves' family,became half-wolf,became isolated from his siblings,,,,
50,summary,"10,11",implicit,causal relationship,,Why does Owasso not tell his wife that her father tried to get rid of him?,did not want to upset her,wanted to pretend it was an accident,did not want to antagonize her father,,,,
51,summary,"22,23",implicit,causal relationship,,Why did Sheem's wail touch Owasso?,It was not human-like.,He missed his brother.,The voice was full of sorrow,,,,
52,summary,"2, 23",implicit,prediction,feeling,How will the father feel knowing that his son and daughter have forsaken the young boy?,ashamed,sad,disappointed,,,,
